Month,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.)
March-2023,399,8685.3,"14,10,443.01"
February-2023,390,7534.76,"12,35,846.62"
January-2023,385,8036.89,"12,98,726.62"
December-2022,382,7829.49,"12,82,055.01"
November-2022,376,7309.45,"11,90,593.39"
October-2022,365,7305.42,"12,11,582.51"
September-2022,358,6780.8,"11,16,438.10"
August-2022,346,6579.63,"10,72,792.68"
July-2022,338,6288.4,"10,62,991.76"
June-2022,330,5862.75,"10,14,384.31"
May-2022,323,5955.2,"10,41,520.07"
April-2022,316,5583.05,"9,83,302.27"
